Dataset Size,InsertionSort Avg Time (ns),MergeSort Avg Time (ns)
2,293,875
3,1418,2826
4,733,878
5,417,353
6,243,536
7,289,549
8,330,660
9,371,680
10,1062,1348
11,478,1244
12,654,1316
13,2357,4973
14,961,1928
15,891,1703
16,1063,2100
17,894,1879
18,2497,2762
19,804,11050
20,897,3727
21,544,2612
22,759,4843
23,1122,3706
24,719,5182
25,558,2484
26,757,5395
27,669,2555
28,694,3102
29,660,2327
30,685,2293
31,744,2321
32,724,2354
33,770,2516
34,808,2879
35,845,2649
36,859,2758
37,1122,5629
38,960,3571
39,1043,3823
40,993,5665
41,1375,4329
42,1129,4242
43,1077,4035
44,1107,3563
45,1326,3985
46,1177,3785
47,1251,3742
48,1255,3758
49,1338,4088
50,1306,4052
51,1349,4351
52,1441,4406
53,1628,5953
54,2074,6722
55,1892,5726
56,1931,5720
57,2004,24301
58,2083,6380
59,1794,5900
60,2091,5058
61,1778,4038
62,1767,4151
63,2159,4197
64,1871,4211
65,1973,4330
66,2643,5900
67,2345,5168
68,2108,4833
69,2309,6048
70,2097,4848
71,2749,6251
72,2491,5444
73,2326,5191
74,2387,5240
75,2496,5254
76,2403,5139
77,4917,7618
78,3211,6794
79,2930,6277
80,2578,5463
81,2689,5600
82,3036,5732
83,3646,9112
84,2935,7732
85,2954,7296
86,3007,7522
87,3026,7462
88,3247,8399
89,3432,9030
90,3950,9147
91,3255,7779
92,3853,7618
93,3754,19061
94,3938,8595
95,4380,8526
96,4941,8419
97,4426,8463
98,4036,7545
99,3665,7075
100,4030,8944
101,3721,7375
102,3793,7266
103,4853,9894
104,4992,9370
105,5186,12722
106,5082,9597
107,5169,9597
108,5258,9621
109,6446,11626
110,4357,9358
111,4473,9371
112,4562,8668
113,4608,8510
114,5930,13054
115,5976,11600
116,4826,8640
117,9365,16153
118,5531,10639
119,5189,8631
120,5099,10745
121,5201,10753
122,5282,12002
123,5436,11384
124,5395,10668
125,5587,11510
126,5784,11132
127,5550,10912
128,5649,11231
129,6689,13073
130,7816,19763
131,5944,11944
132,6390,15572
133,6347,12776
134,6154,13293
135,6397,13159
136,7642,14994
137,7598,14312
138,6999,15547
139,9722,16132
140,6989,14076
141,7262,12887
142,7700,12914
143,7438,15353
144,7550,13843
145,8109,16669
146,8134,14266
147,8724,17139
148,10692,19373
149,10019,19293
150,8666,15053
151,9969,22843
152,10920,21313
153,10196,18967
154,10515,20020
155,8572,14967
156,8525,15070
157,8777,16019
158,9752,16775
159,8329,15012
160,8814,14639
161,8452,14947
