Dataset Size,InsertionSort Time (ns),InsertionSort Comparisons,MergeSort Time (ns),MergeSort Comparisons
2,156,1,282,1
3,175,2,490,2
4,488,4,541,4
5,130,7,181,7
6,126,11,237,9
7,130,14,269,12
8,145,19,353,15
9,166,23,339,19
10,193,29,397,22
11,213,36,461,26
12,266,42,515,29
13,258,48,577,33
14,298,55,740,37
15,320,65,673,41
16,365,72,961,45
17,413,81,828,50
18,409,89,847,54
19,443,99,921,58
20,480,111,955,63
21,508,121,1029,68
22,576,132,1847,72
23,303,143,1180,77
24,409,159,1793,81
25,324,168,1566,87
26,337,182,1306,91
27,346,202,1342,96
28,530,211,2958,101
29,384,225,1548,106
30,395,243,1573,111
31,404,261,1662,116
32,431,276,1690,121
33,443,290,1927,127
34,461,313,1855,131
35,536,330,2440,137
36,498,343,1947,143
37,519,363,1885,148
38,534,388,1781,154
39,546,409,1907,159
40,553,430,1861,164
41,575,438,1886,171
42,609,467,2005,176
43,659,494,2380,182
44,628,508,2118,188
45,617,533,2108,193
46,623,558,2113,198
47,654,581,2105,204
48,676,613,2264,210
49,691,635,2411,215
50,767,656,3038,221
51,798,687,2567,227
52,815,712,2507,233
53,836,740,2582,239
54,889,761,2649,245
55,876,789,2858,251
56,892,808,2723,257
57,927,848,2901,263
58,934,881,2862,269
59,958,909,2961,275
60,1022,933,3062,281
61,1011,964,3139,286
62,1036,1000,3125,293
63,1087,1031,3238,299
64,1080,1080,3122,304
65,1105,1094,3341,311
66,1137,1121,3420,318
67,1157,1170,3422,324
68,1187,1200,3424,330
69,1212,1240,3536,337
70,1276,1280,3834,343
71,1300,1313,3853,350
72,1328,1340,4037,356
73,1337,1374,3832,362
74,1391,1412,3932,369
75,1485,1438,4042,376
76,1423,1481,3995,382
77,2180,1532,9233,389
78,2200,1587,5401,394
79,1427,1615,4246,401
80,2380,1667,4853,408
81,1702,1716,27491,414
82,1656,1739,4226,421
83,1768,1765,4448,428
84,1735,1835,3897,434
85,1702,1849,3466,441
86,1769,1909,3586,448
87,1805,1949,3836,455
88,1840,1992,3816,461
89,1931,2035,4263,468
90,1909,2077,3844,474
91,1998,2148,4008,480
92,2031,2194,3974,488
93,2679,2236,4492,494
94,1870,2269,3648,500
95,1880,2316,3601,508
96,1973,2337,3638,513
97,1963,2431,3731,520
98,1987,2470,3921,527
99,2067,2496,3961,535
100,2110,2576,4039,542
101,2140,2645,3898,547
102,2140,2675,3962,555
103,2172,2714,3959,562
104,2191,2762,4043,569
105,2218,2848,4046,576
106,2288,2870,4195,582
107,2308,2949,4160,589
108,2328,2963,4181,597
109,2430,3056,4241,604
110,2441,3083,4337,609
111,2457,3152,4290,617
112,2484,3193,4315,624
113,2547,3244,4403,631
114,2765,3338,4742,638
115,2815,3422,5596,645
116,2866,3424,5803,651
117,2912,3502,6402,658
118,2958,3562,6081,666
119,3010,3651,5879,673
120,3022,3613,6046,680
121,3079,3740,6019,687
122,3076,3799,6050,693
123,3156,3801,6047,699
124,3187,3912,6185,709
125,3301,4008,6302,715
126,3296,4047,6170,722
127,3430,4095,6258,729
128,3454,4162,6314,736
129,3502,4276,6678,743
130,4244,4241,8285,751
131,4646,4384,10347,758
132,3387,4432,6441,765
133,3386,4566,6341,772
134,3475,4582,6415,781
135,3493,4666,6547,788
136,3550,4717,6535,794
137,3633,4794,6746,801
138,3550,4870,6545,809
139,3687,4914,6743,817
140,3685,5027,6624,824
141,3727,5034,6923,832
142,3804,5190,6859,839
143,3761,5150,6920,847
144,3789,5236,7338,855
145,3949,5347,7039,863
146,3896,5444,6893,869
147,4045,5542,7300,877
148,4277,5557,7218,885
149,4088,5590,7193,892
150,4116,5672,7404,900
151,4099,5747,7377,906
152,4213,5908,7501,915
153,4314,5957,7467,921
154,4328,6013,7618,930
155,4317,6012,7579,937
156,4475,6202,7857,944
157,4525,6245,7801,952
158,4533,6359,7827,959
159,4555,6428,7829,966
160,4571,6408,7721,974
161,4695,6566,8039,982
162,4685,6619,7717,990
163,4785,6728,8107,996
164,4886,6880,8116,1005
165,4933,6931,8197,1012
166,4995,6991,8351,1019
167,4982,7108,8511,1028
168,5048,7105,8590,1035
169,5541,7236,8612,1043
170,5162,7384,8516,1050
171,5261,7483,8699,1057
172,5330,7512,8708,1065
173,5646,7594,8683,1072
174,5427,7659,8849,1080
175,5408,7731,8690,1089
176,6509,7823,10102,1095
177,5648,7944,9182,1105
178,5608,8096,9057,1111
179,5749,8109,8955,1117
180,5853,8289,9014,1126
181,5723,8238,9097,1133
182,6078,8460,9931,1141
183,5957,8481,9269,1149
184,5926,8588,9258,1157
185,6721,8715,9617,1164
186,8345,8816,14747,1173
187,6508,8810,10020,1180
188,6561,8976,10164,1186
189,6685,9083,11038,1195
190,6712,9109,10552,1203
191,6912,9271,10497,1211
192,6919,9355,10392,1218
193,7511,9472,12453,1229
194,9601,9565,14513,1234
195,7232,9655,11550,1242
196,7255,9759,10865,1250
197,7458,9791,12441,1258
198,7539,9990,11464,1267
199,7701,10083,11928,1273
200,7079,10154,10392,1282
201,8077,10104,12722,1289
202,7674,10386,11438,1297
203,7589,10411,11223,1305
204,7486,10505,10896,1314
205,7673,10646,11449,1321
206,7586,10731,11021,1327
207,7451,10809,11184,1336
208,11832,10828,15250,1345
209,7498,11070,11466,1353
210,7686,11222,11088,1359
211,7739,11336,11283,1369
212,7814,11351,11346,1375
213,7772,11373,11289,1384
214,8007,11602,11025,1393
215,7979,11652,11165,1399
216,9305,11790,12060,1407
217,8102,11887,11301,1416
218,8073,12021,11225,1424
219,8588,12209,13624,1429
220,8769,12167,12490,1439
221,9629,12393,12161,1447
222,9048,12466,12268,1456
223,8790,12602,11958,1462
224,8570,12697,11315,1469
225,8702,12848,12435,1477
226,8812,13003,12569,1486
227,9495,12973,14930,1496
228,9425,13076,12737,1503
229,9902,13248,12929,1511
230,9619,13270,12780,1519
231,10040,13646,13305,1525
232,10005,13646,13422,1534
233,9309,13758,14779,1542
234,9440,13769,13408,1550
235,9481,13919,12951,1557
236,9352,14010,12503,1566
237,11620,14283,15722,1572
238,9592,14305,12738,1581
239,9672,14366,13491,1589
240,10066,14614,14354,1597
241,9800,14738,12828,1607
242,9898,14912,12747,1615
243,9925,14844,12874,1623
244,10033,15022,12966,1630
245,10135,15179,12793,1639
246,10727,15342,13455,1645
247,10179,15402,13042,1653
248,10241,15452,13205,1660
249,10448,15631,13722,1670
250,10431,15819,13374,1679
251,10588,15952,13218,1686
252,13035,16144,14963,1694
253,10743,16285,13506,1701
254,11646,16194,14558,1710
255,11648,16431,14310,1718
256,11345,16590,14411,1726
257,17348,16666,21093,1733
258,11042,16839,13676,1742
259,11650,16947,13830,1752
260,11279,17053,14258,1758
261,11162,17107,14087,1769
262,11398,17279,14063,1776
263,11963,17482,16718,1784
264,11608,17631,14163,1793
265,11846,17823,14066,1802
266,14267,17901,16434,1810
267,12342,17904,15019,1817
268,13700,18146,14964,1829
269,11874,18166,14454,1835
270,11965,18274,14352,1843
271,12195,18550,14406,1852
272,12248,18653,14389,1860
273,12319,18904,14609,1867
274,24959,19044,21305,1877
275,13895,19222,16315,1886
276,13471,19254,15674,1893
277,20975,19369,27408,1902
278,16617,19665,19367,1910
279,13940,19668,16683,1921
280,13241,19876,15221,1927
281,13124,19931,15466,1938
282,13118,20123,15289,1945
283,13048,20165,15412,1953
284,13063,20215,15307,1961
285,13264,20396,15329,1969
286,13454,20493,15284,1978
287,14004,20871,15240,1986
288,13710,20860,15556,1995
289,13711,21004,15588,2004
290,13701,21255,15589,2013
291,13963,21526,15490,2021
292,13870,21442,15711,2031
293,14456,21628,16272,2037
294,14247,21779,16195,2047
295,14058,21810,16139,2055
296,14371,22139,16684,2064
297,21115,22221,42273,2071
298,17299,22395,17793,2081
299,14486,22596,14503,2087
300,14116,22668,13912,2097
301,14423,22930,13937,2106
302,14426,22906,14234,2113
303,14446,23079,14090,2125
304,15011,23189,14109,2130
305,15002,23516,14167,2139
306,14923,23619,14335,2147
307,15236,23806,14449,2156
308,15343,23895,15573,2165
309,15277,24082,14628,2173
310,15337,24253,14524,2182
311,15270,24128,14681,2191
312,15312,24403,14895,2200
313,17338,24760,15040,2209
314,15701,24742,16183,2215
315,15636,24969,15124,2225
316,21020,25210,19071,2233
317,21710,25290,21609,2240
318,17251,25371,16826,2249
319,16121,25553,14923,2257
320,16047,25727,14939,2266
321,16504,25973,15659,2274
322,16536,26224,15321,2284
323,16456,26314,15340,2291
324,17359,26498,15600,2301
325,17451,26597,15528,2310
326,16786,26781,16425,2320
327,16808,26833,15622,2329
328,17634,27038,16906,2337
329,16968,27162,16114,2345
330,23545,27394,21300,2354
331,19154,27563,17496,2362
332,17827,27812,16126,2370
333,17791,27851,19332,2379
334,17939,28012,16865,2386
335,19065,28224,17353,2396
336,19840,28558,17766,2406
337,19227,28681,17114,2411
338,19600,28797,17765,2422
339,18599,28892,16579,2429
340,18530,29122,16937,2440
341,19751,29385,17597,2448
342,19687,29529,17636,2458
343,19955,29627,17426,2465
344,19915,29782,21304,2473
345,26156,29956,22989,2483
346,21873,30031,19465,2491
347,23886,30382,23447,2498
348,21057,30677,19378,2507
349,21383,30558,17815,2517
350,19288,30780,16749,2522
351,19387,30878,17111,2535
352,23882,31333,20447,2541
353,21914,31165,20152,2552
354,29367,31250,42223,2557
355,23940,31821,19769,2568
