Dataset Size,S Value,Avg Comparisons,Avg Time (ms)
1000,10,8457,0
1000,15,8814,0
1000,20,9480,0
1000,25,9488,0
1000,30,9577,0
1000,32,12532,0
1000,35,12520,0
1000,40,12505,0
1000,45,12407,0
1000,50,12383,0
1000,60,12493,0
1000,75,19378,0
1000,90,19215,0
1000,100,19300,0
1000,120,19341,0
1000,140,34019,0
1000,160,33925,0
1000,180,34054,0
1000,200,33820,0
1000,250,64262,0
1000,300,63985,0
10000,10,120068,1
10000,15,119998,1
10000,20,135547,1
10000,25,135217,1
10000,30,135285,1
10000,32,135524,0
10000,35,135512,0
10000,40,174270,0
10000,45,174410,0
10000,50,175151,0
10000,60,174822,1
10000,75,174692,1
10000,90,262832,1
10000,100,262569,1
10000,120,262470,1
10000,140,262191,1
10000,160,448315,1
10000,180,447150,1
10000,200,448606,1
10000,250,446522,1
10000,300,448348,1
100000,10,1498575,16
100000,15,1565382,15
100000,20,1564677,15
100000,25,1777158,15
100000,30,1777462,15
100000,32,1777282,14
100000,35,1777603,14
100000,40,1777833,13
100000,45,1777355,13
100000,50,2293095,13
100000,60,2292628,14
100000,75,2291515,15
100000,90,2291181,15
100000,100,3417127,15
100000,120,3414709,16
100000,140,3415553,17
100000,160,3414481,15
100000,180,3415956,15
100000,200,5762734,19
100000,250,5755438,17
100000,300,5757528,21
1000000,10,18422042,173
1000000,15,19139846,181
1000000,20,19441730,164
1000000,25,19441435,162
1000000,30,20773852,169
1000000,32,22316468,168
1000000,35,22318829,186
1000000,40,22316912,188
1000000,45,22320495,188
1000000,50,22317318,187
1000000,60,22316325,160
1000000,75,28976542,207
1000000,90,28976195,251
1000000,100,28974391,247
1000000,120,28981744,230
1000000,140,43247914,192
1000000,160,43243895,193
1000000,180,43251363,194
1000000,200,43240855,192
1000000,250,72777867,210
1000000,300,72784365,220
10000000,10,219438509,2115
10000000,15,219439584,2078
10000000,20,234182726,2075
10000000,25,234178297,2107
10000000,30,234175049,2075
10000000,32,234176264,1979
10000000,35,234180428,1982
10000000,40,272374112,2016
10000000,45,272361701,2017
10000000,50,272355298,2031
10000000,60,272369493,2024
10000000,75,272362731,2010
10000000,90,357986736,2114
10000000,100,357985097,2076
10000000,120,357986486,2166
10000000,140,357977173,2086
10000000,160,538866778,2170
10000000,180,538841979,2170
10000000,200,538865733,2229
10000000,250,538845319,2297
10000000,300,538887204,2314
