Dataset Size,S Value,Comparisons,Time (ms)
1000,0,8716,0
1000,10,8499,0
1000,25,9533,0
1000,32,12629,0
1000,50,12629,0
1000,75,19909,0
1000,120,19909,0
1000,145,34258,0
1000,160,34258,0
1000,185,34258,0
1000,200,34258,0
1000,300,65732,0
10000,0,120510,0
10000,10,119993,1
10000,25,135349,2
10000,32,135349,1
10000,50,175511,2
10000,75,175511,0
10000,120,263082,0
10000,145,263082,0
10000,160,451020,0
10000,185,451020,0
10000,200,451020,0
10000,300,451020,0
100000,0,1536259,10
100000,10,1497590,10
100000,25,1778384,7
100000,32,1778384,6
100000,50,2293076,7
100000,75,2293076,7
100000,120,3417599,7
100000,145,3417599,7
100000,160,3417599,8
100000,185,3417599,7
100000,200,5758624,10
100000,300,5758624,9
1000000,0,18674069,122
1000000,10,18424760,105
1000000,25,19447305,97
1000000,32,22315217,93
1000000,50,22315217,93
1000000,75,28972996,88
1000000,120,28972996,90
1000000,145,43266932,105
1000000,160,43266932,104
1000000,185,43266932,103
1000000,200,43266932,96
1000000,300,72804221,115
10000000,0,220097924,1206
10000000,10,219444453,1092
10000000,25,234175803,1046
10000000,32,234175803,1063
10000000,50,272352339,1026
10000000,75,272352339,1017
10000000,120,357924882,1079
10000000,145,357924882,1090
10000000,160,538756188,1106
10000000,185,538756188,1138
10000000,200,538756188,1144
10000000,300,538756188,1155
